[2026-02-17 19:49:04,845] 17 root - INFO -Initiate the data ingestion
[2026-02-17 19:49:10,070] 61 root - INFO -Performed train test split on the dataframe
[2026-02-17 19:49:10,071] 63 root - INFO -Exited split_data_as_train_test method of Data_ingestion class
[2026-02-17 19:49:10,072] 69 root - INFO -Exporting train and test file path.
[2026-02-17 19:49:10,769] 77 root - INFO -Exported train and test file path.
[2026-02-17 19:49:10,789] 19 root - INFO -Data Initiated completed
[2026-02-17 19:49:10,802] 24 root - INFO -initiate the data validation
[2026-02-17 19:49:11,534] 32 root - INFO -Required number of columns:2
[2026-02-17 19:49:11,539] 33 root - INFO - Dataframe has columns:11
[2026-02-17 19:49:11,539] 32 root - INFO -Required number of columns:2
[2026-02-17 19:49:11,540] 33 root - INFO - Dataframe has columns:11
[2026-02-17 19:49:12,490] 26 root - INFO - data validation completed
[2026-02-17 19:49:12,492] 30 root - INFO - data Transformation Started
[2026-02-17 19:49:12,493] 125 root - INFO -Entered initiate_data_transformation method of Datatransformation class
[2026-02-17 19:49:12,493] 127 root - INFO -Starting data transformation
[2026-02-17 19:49:12,879] 107 root - INFO -Entered get_data_transformer_object method of DataTransformation class
[2026-02-17 19:50:42,144] 44 root - INFO -Entered the save_object method of Mainutils class
[2026-02-17 19:50:43,664] 48 root - INFO -Exited the save_object method of Mainutils class
[2026-02-17 19:50:43,666] 44 root - INFO -Entered the save_object method of Mainutils class
[2026-02-17 19:50:43,737] 48 root - INFO -Exited the save_object method of Mainutils class
[2026-02-17 19:50:45,642] 34 root - INFO - data Transformation completed
